INDEX,INDEX+SYMBOL,CURRENT PRICE,OPEN,HIGH,LOW,CLOSE PRICE,CHANGE,CHANGE %,52WHIGH,52W-LOW,3D CHART
NIFTY_50,INDEXNSE:NIFTY_50,26215.55,26261.25,"26,310.45","26,141.90",26205.3,10.25,0.04,"26,310.45","21,743.65",
NIFTY_NEXT_50,INDEXNSE:NIFTY_NEXT_50,69069.8,69349.7,"69,408.10","68,858.45",69189.4,-119.60,-0.17,"73,443.90","56,192.45",
NIFTY_BANK,INDEXNSE:NIFTY_BANK,59737.3,59605.3,"59,866.60","59,523.00",59528.05,209.25,0.35,"59,866.60","47,702.90",
NIFTY_FIN_SERVICE,INDEXNSE:NIFTY_FIN_SERVICE,27946.2,27835.05,"28,055.35","27,802.25",27799.5,146.70,0.53,"28,055.35","22,320.85",
NIFTY_100,INDEXNSE:NIFTY_100,26744.35,26800.95,"26,833.20","26,670.25",26743.05,1.30,0.00,"26,833.20","22,177.35",
NIFTY_200,INDEXNSE:NIFTY_200,14585.35,14615.1,"14,626.05","14,541.95",14582.5,2.85,0.02,"14,626.05","11,941.45",
NIFTY_500,INDEXNSE:NIFTY_500,23947.75,24011.9,"24,026.25","23,879.60",23955.2,-7.45,-0.03,"24,032.10","19,519.85",
NIFTY_MIDCAP_50,INDEXNSE:NIFTY_MIDCAP_50,17451.7,17469.25,"17,483.75","17,374.85",17424.1,27.60,0.16,"17,483.75","13,269.65",
INDIA_VIX,INDEXNSE:INDIA_VIX,11.79,11.97,12.24,11.51,11.97,-0.18,-1.52,23.19,9.40,
NIFTY_AUTO,INDEXNSE:NIFTY_AUTO,27603.65,27782.9,"27,832.60","27,527.45",27696.4,-92.75,-0.33,"27,832.60","19,316.65",
NIFTY_FMCG,INDEXNSE:NIFTY_FMCG,55470.55,55526.4,"55,638.50","55,264.85",55442.6,27.95,0.05,"59,302.55","50,199.35",
NIFTY_IT,INDEXNSE:NIFTY_IT,37446.3,37487.65,"37,668.55","37,208.25",37364.6,81.70,0.22,"46,088.90","30,918.95",
NIFTY_MEDIA,INDEXNSE:NIFTY_MEDIA,1460.2,1451.6,"1,464.15","1,449.25",1448.05,12.15,0.84,"2,095.65","1,344.40",
NIFTY_METAL,INDEXNSE:NIFTY_METAL,10273.75,10334.4,"10,379.60","10,211.55",10280.7,-6.95,-0.07,"10,837.45","7,690.20",
NIFTY_PHARMA,INDEXNSE:NIFTY_PHARMA,22863,22879.35,"22,948.00","22,812.70",22862.35,0.65,0.00,"23,604.45","19,121.10",
NIFTY_PSU_BANK,INDEXNSE:NIFTY_PSU_BANK,8502.1,8581.65,"8,591.00","8,462.60",8551.95,-49.85,-0.58,"8,665.70","5,530.35",
NIFTY_PVT_BANK,INDEXNSE:NIFTY_PVT_BANK,28792.05,28735.45,"28,867.30","28,688.00",28695.35,96.70,0.34,"28,867.30","23,508.05",
NIFTY_REALTY,INDEXNSE:NIFTY_REALTY,904.9,914.35,916.25,902.90,911.45,-6.55,-0.72,"1,137.50",765.80,
NIFTY50_VALUE_20,INDEXNSE:NIFTY50_VALUE_20,13139.15,13175.7,"13,182.40","13,093.35",13134.6,4.55,0.03,"14,115.15","11,375.50",
NIFTY_COMMODITIES,INDEXNSE:NIFTY_COMMODITIES,9218.55,9271.7,"9,279.70","9,182.30",9243.85,-25.30,-0.27,"9,530.35","7,502.95",
NIFTY_CONSUMPTION,INDEXNSE:NIFTY_CONSUMPTION,12450.35,12522.85,"12,530.00","12,416.95",12497.9,-47.55,-0.38,"12,716.20","10,090.65",
NIFTY_CPSE,INDEXNSE:NIFTY_CPSE,6399.55,6441,"6,449.15","6,388.60",6425.65,-26.10,-0.41,"6,681.80","5,284.25",
NIFTY_ENERGY,INDEXNSE:NIFTY_ENERGY,35756.15,36049.55,"36,064.35","35,677.65",35964.8,-208.65,-0.58,"38,136.85","29,313.20",
NIFTY_MNC,INDEXNSE:NIFTY_MNC,30338.55,30386.6,"30,402.65","30,246.65",30310.75,27.80,0.09,"30,697.55","23,981.05",
NIFTY_PSE,INDEXNSE:NIFTY_PSE,9808,9862.85,"9,872.35","9,785.35",9840.6,-32.60,-0.33,"10,398.50","7,956.45",